Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,301.9012,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,301.968,D2_44,0.018,,,,,,,,,,,,,,,,,,,,
,,302.0408,C3_11,0.012,,,,,,,,,,,,,,,,,,,,
,,302.09104,C3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,302.1312,C3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,302.19728,C3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,302.23536,C3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,302.48096,C3_11,0.015,,,,,,,,,,,,,,,,,,,,
,,302.53248,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,302.536,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,302.53848,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,302.53896,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.54224,D5_34,0.033,,,,,,,,,,,,,,,,,,,,
,,302.56264,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,302.5648,C3_11,0.013,,,,,,,,,,,,,,,,,,,,
,,302.56568,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,302.56992,D5_23,0.054,,,,,,,,,,,,,,,,,,,,
,,302.57336,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,302.57504,D5_34,0.05,,,,,,,,,,,,,,,,,,,,
,,302.57568,D5_23,0.072,,,,,,,,,,,,,,,,,,,,
,,302.57856,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,302.57968,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,302.58288,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,302.58368,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,302.58536,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,302.58672,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,302.58944,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,302.59208,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,302.59224,D5_23,0.08,,,,,,,,,,,,,,,,,,,,
,,302.59616,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,302.59672,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,302.59896,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,302.60072,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,302.60184,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,302.60344,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,302.60472,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,302.6076,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,302.60952,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,302.60992,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,302.61024,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,302.6132,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.61392,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,302.6164,D5_34,0.027,,,,,,,,,,,,,,,,,,,,
,,302.61752,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,302.62072,D5_23,0.047,,,,,,,,,,,,,,,,,,,,
,,302.62288,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,302.62504,D5_23,0.078,,,,,,,,,,,,,,,,,,,,
,,302.62672,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,302.62768,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,302.62808,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,302.6308,D5_34,0.032,,,,,,,,,,,,,,,,,,,,
,,302.63144,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,302.63312,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,302.634,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,302.63464,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,302.63584,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,302.63936,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,302.63936,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,302.64056,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,302.64464,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,302.6452,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,302.64552,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,302.64744,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,302.64776,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,302.65,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,302.65128,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,302.65192,D5_23,0.036,,,,,,,,,,,,,,,,,,,,
,,302.65384,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,302.65456,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,302.65752,D5_22,0.012,,,,,,,,,,,,,,,,,,,,
,,302.6576,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,302.65776,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,302.65848,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,302.66032,D5_24,0.018,,,,,,,,,,,,,,,,,,,,
,,302.66104,D5_23,0.059,,,,,,,,,,,,,,,,,,,,
,,302.66176,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,302.66288,D5_34,0.029,,,,,,,,,,,,,,,,,,,,
,,302.6644,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,302.66456,D5_33,0.035,,,,,,,,,,,,,,,,,,,,
,,302.666,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,302.66672,D5_23,0.05,,,,,,,,,,,,,,,,,,,,
,,302.66848,D5_34,0.03,,,,,,,,,,,,,,,,,,,,
,,302.66872,D5_33,0.047,,,,,,,,,,,,,,,,,,,,
,,302.66968,D5_23,0.08,,,,,,,,,,,,,,,,,,,,
,,302.67152,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,302.67328,D5_23,0.05,,,,,,,,,,,,,,,,,,,,
,,302.67472,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,302.67504,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,302.6768,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,302.67744,D5_33,0.031,,,,,,,,,,,,,,,,,,,,
,,302.67904,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,302.67968,D4_42,0.022,,,,,,,,,,,,,,,,,,,,
,,302.67976,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.68136,D5_22,0.01,,,,,,,,,,,,,,,,,,,,
,,302.68168,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,302.68208,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,302.6828,D5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,302.684,D5_34,0.039,,,,,,,,,,,,,,,,,,,,
,,302.6844,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,302.68528,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,302.68672,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,302.68696,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,302.68736,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,302.68864,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.69048,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,302.69176,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,302.6932,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,302.69464,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,302.6964,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,302.69744,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,302.6992,D5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,302.69928,D5_23,0.068,,,,,,,,,,,,,,,,,,,,
,,302.69976,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,302.70072,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,302.70296,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,302.70312,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,302.70568,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,302.70576,D5_23,0.048,,,,,,,,,,,,,,,,,,,,
,,302.70928,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,302.71088,D5_33,0.039,,,,,,,,,,,,,,,,,,,,
,,302.71192,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,302.712,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,302.7132,D5_34,0.026,,,,,,,,,,,,,,,,,,,,
,,302.71384,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,302.71416,D5_23,0.048,,,,,,,,,,,,,,,,,,,,
,,302.71672,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,302.7168,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,302.71776,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,302.71944,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,302.72024,D5_23,0.08,,,,,,,,,,,,,,,,,,,,
,,302.72144,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,302.72168,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,302.7228,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,302.72648,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,302.7276,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,302.72896,D5_23,0.043,,,,,,,,,,,,,,,,,,,,
,,302.73144,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,302.73464,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,302.73488,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,302.7372,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,302.738,D5_33,0.031,,,,,,,,,,,,,,,,,,,,
,,302.73912,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,302.73976,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,302.74104,D5_33,0.034,,,,,,,,,,,,,,,,,,,,
,,302.74536,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,302.74752,D5_22,0.011,,,,,,,,,,,,,,,,,,,,
,,302.74944,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,302.75,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,302.75224,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,302.75592,D5_23,0.036,,,,,,,,,,,,,,,,,,,,
,,302.75744,D5_34,0.035,,,,,,,,,,,,,,,,,,,,
,,302.75816,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,302.75936,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,302.76128,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,302.76192,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,302.7624,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,302.76816,D5_33,0.031,,,,,,,,,,,,,,,,,,,,
,,302.77088,B6_13,0.025,,,,,,,,,,,,,,,,,,,,
,,302.77176,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,302.77384,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,302.77392,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,302.77664,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,302.77912,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,302.77952,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,302.7816,D5_34,0.01,,,,,,,,,,,,,,,,,,,,
,,302.78536,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,302.788,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,302.78856,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,302.79072,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,302.79168,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,302.80288,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,302.80424,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,302.80552,B6_13,0.014,,,,,,,,,,,,,,,,,,,,
,,302.80696,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,302.80968,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,302.8124,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,302.81272,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,302.81384,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,302.8148,D5_34,0.031,,,,,,,,,,,,,,,,,,,,
,,302.81664,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,302.8188,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,302.82088,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,302.82128,B6_13,0.019,,,,,,,,,,,,,,,,,,,,
,,302.82528,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.82584,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,302.82872,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,302.83024,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,302.83432,D1_22,0.017,,,,,,,,,,,,,,,,,,,,
,,302.83752,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,302.84048,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,302.84184,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,302.84288,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,302.8476,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,302.84952,B6_13,0.018,,,,,,,,,,,,,,,,,,,,
,,302.85192,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,302.85232,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,302.85416,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,302.85832,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,302.86128,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,302.86232,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,302.87,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,302.87024,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,302.87136,B6_13,0.021,,,,,,,,,,,,,,,,,,,,
,,302.87216,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.87448,D5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,302.87728,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,302.88056,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,302.8828,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,302.88296,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,302.88624,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,302.88848,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,302.89032,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,302.89104,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,302.8932,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,302.89464,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,302.8968,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,302.89848,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,302.89984,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,302.9016,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,302.90816,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,302.91072,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,302.91168,B6_13,0.018,,,,,,,,,,,,,,,,,,,,
,,302.91304,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.91376,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,302.91712,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,302.918,D5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,302.92072,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,302.92416,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,302.93,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,302.93336,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,302.9364,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,302.93832,B6_13,0.017,,,,,,,,,,,,,,,,,,,,
,,302.94248,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,302.94264,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,302.94928,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,302.9524,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,302.95304,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,302.96024,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,302.96312,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,302.96568,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,302.97088,C1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,302.97144,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,302.9736,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,302.97576,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,302.986,D5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,302.9944,B6_13,0.016,,,,,,,,,,,,,,,,,,,,
,,302.99952,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,303.00312,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,303.00616,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,303.00904,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,303.01312,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,303.0156,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,303.01632,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,303.02144,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,303.02376,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,303.02768,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,303.02848,B6_13,0.016,,,,,,,,,,,,,,,,,,,,
,,303.0312,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,303.03264,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,303.03288,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,303.04136,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,303.04224,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,303.04696,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,303.05184,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,303.06072,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,303.06088,B6_13,0.015,,,,,,,,,,,,,,,,,,,,
,,303.06512,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,303.07424,D5_33,0.011,,,,,,,,,,,,,,,,,,,,
,,303.07704,D4_43,0.012,,,,,,,,,,,,,,,,,,,,
,,303.07704,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,303.07728,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,303.08248,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,303.08464,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,303.08944,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,303.09056,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,303.09144,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,303.0928,D5_34,0.009,,,,,,,,,,,,,,,,,,,,
,,303.09328,B6_13,0.016,,,,,,,,,,,,,,,,,,,,
,,303.10672,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,303.11896,D5_23,0.041,,,,,,,,,,,,,,,,,,,,
,,303.12432,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,303.12528,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,303.12928,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,303.13216,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,303.13304,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,303.13456,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,303.13816,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,303.14384,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,303.14712,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,303.15056,B4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,303.1508,B6_13,0.016,,,,,,,,,,,,,,,,,,,,
,,303.15552,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,303.158,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,303.16424,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,303.16496,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,303.17048,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,303.17096,D5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,303.1776,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,303.18936,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,303.19824,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,303.20152,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,303.24472,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,303.25696,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,303.2736,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,303.2948,D5_34,0.029,,,,,,,,,,,,,,,,,,,,
,,303.30104,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,303.32312,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,303.36344,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,303.39824,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,303.42776,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,303.45216,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,303.49192,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,303.49384,A4_32,0.02,,,,,,,,,,,,,,,,,,,,
,,303.49864,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,303.50152,A1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,303.59088,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,303.60136,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,303.66224,C4_22,0.012,,,,,,,,,,,,,,,,,,,,
,,303.68104,D5_34,0.023,,,,,,,,,,,,,,,,,,,,
,,303.73408,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,303.75584,B4_24,0.012,,,,,,,,,,,,,,,,,,,,
,,303.78536,C3_22,0.021,,,,,,,,,,,,,,,,,,,,
,,303.79264,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,303.84688,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,303.86448,B4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,303.88656,B4_12,0.018,,,,,,,,,,,,,,,,,,,,
,,303.93208,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,304.06168,B4_12,0.013,,,,,,,,,,,,,,,,,,,,
,,304.06768,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,304.13712,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,304.26416,A2_24,0.018,,,,,,,,,,,,,,,,,,,,
,,304.31776,A1_24,0.018,,,,,,,,,,,,,,,,,,,,
,,304.42928,A1_24,0.015,,,,,,,,,,,,,,,,,,,,
,,304.46624,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,304.57024,D4_31,0.018,,,,,,,,,,,,,,,,,,,,
,,304.6576,C1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,304.68248,C4_31,0.014,,,,,,,,,,,,,,,,,,,,
,,304.71088,C1_44,0.019,,,,,,,,,,,,,,,,,,,,
,,304.7224,D4_42,0.013,,,,,,,,,,,,,,,,,,,,
,,304.91888,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,304.92816,C1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,305.64656,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,305.74032,A4_31,0.014,,,,,,,,,,,,,,,,,,,,
,,305.83912,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,305.89352,C5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,306.00216,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,306.16408,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,306.28072,D4_31,0.018,,,,,,,,,,,,,,,,,,,,
,,306.34656,B4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,306.48536,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,306.48872,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,306.48984,C6_22,0.016,,,,,,,,,,,,,,,,,,,,
,,306.51568,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,306.54088,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,306.54432,D4_42,0.014,,,,,,,,,,,,,,,,,,,,
,,306.57752,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,306.63952,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,306.70224,A1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,306.70328,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,306.91816,D3_32,0.018,,,,,,,,,,,,,,,,,,,,
,,307.05528,D4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,307.07184,D3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,307.2408,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,307.27568,C5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,307.30832,A6_12,0.025,,,,,,,,,,,,,,,,,,,,
,,307.33504,C5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,307.37344,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,307.41888,A1_22,0.013,,,,,,,,,,,,,,,,,,,,
,,307.4592,B4_23,0.025,,,,,,,,,,,,,,,,,,,,
,,307.51088,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,307.62856,B4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,307.68536,D1_21,0.012,,,,,,,,,,,,,,,,,,,,
,,307.83672,B4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,308.07072,B4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,308.17888,A1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,308.31656,B4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,308.43552,D4_42,0.013,,,,,,,,,,,,,,,,,,,,
,,308.648,A2_12,0.016,,,,,,,,,,,,,,,,,,,,
,,308.76728,A1_34,0.017,,,,,,,,,,,,,,,,,,,,
,,308.8124,B4_23,0.011,,,,,,,,,,,,,,,,,,,,
,,308.87944,A2_12,0.014,,,,,,,,,,,,,,,,,,,,
,,308.90136,C4_22,0.015,,,,,,,,,,,,,,,,,,,,
,,308.95152,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,309.09208,B4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,309.13448,A2_12,0.013,,,,,,,,,,,,,,,,,,,,
,,309.232,A2_12,0.022,,,,,,,,,,,,,,,,,,,,
,,309.5472,A2_12,0.016,,,,,,,,,,,,,,,,,,,,
,,309.65712,D4_31,0.017,,,,,,,,,,,,,,,,,,,,
