Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,24.15136,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,24.16928,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,24.17456,B6_44,0.015,,,,,,,,,,,,,,,,,,,,
,,24.23464,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,24.2596,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,24.30128,A4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,24.31824,B3_31,0.013,,,,,,,,,,,,,,,,,,,,
,,24.3404,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,24.468,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,24.46944,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,24.50088,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,24.58648,B5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,24.60976,C3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,24.62392,C5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,24.65584,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,24.66192,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,24.71952,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,24.75736,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,24.7676,C6_43,0.021,,,,,,,,,,,,,,,,,,,,
,,24.77704,B6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,24.82568,B3_31,0.014,,,,,,,,,,,,,,,,,,,,
,,24.99896,A4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,25.21336,A4_34,0.018,,,,,,,,,,,,,,,,,,,,
,,25.2568,C3_42,0.015,,,,,,,,,,,,,,,,,,,,
,,25.39928,A4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,25.4932,B6_23,0.022,,,,,,,,,,,,,,,,,,,,
,,25.54808,B3_31,0.013,,,,,,,,,,,,,,,,,,,,
,,25.62304,B5_31,0.015,,,,,,,,,,,,,,,,,,,,
,,25.63608,B6_23,0.024,,,,,,,,,,,,,,,,,,,,
,,25.65848,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,25.68216,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,25.78984,B5_31,0.013,,,,,,,,,,,,,,,,,,,,
,,25.80232,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,25.89024,A4_23,0.025,,,,,,,,,,,,,,,,,,,,
,,25.90448,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,25.94712,C3_33,0.015,,,,,,,,,,,,,,,,,,,,
,,25.99776,B5_31,0.015,,,,,,,,,,,,,,,,,,,,
,,26.0684,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,26.17824,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
,,26.31232,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,26.40224,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,26.47472,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,26.4756,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,26.52296,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,26.56192,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,26.60224,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,26.67736,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,26.728,C4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,26.8004,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,26.83136,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,26.85296,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
,,26.87512,A1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,26.90008,B5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,27.01688,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,27.1168,B3_12,0.029,,,,,,,,,,,,,,,,,,,,
,,27.25104,A4_34,0.011,,,,,,,,,,,,,,,,,,,,
,,27.27904,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,27.2804,C3_43,0.015,,,,,,,,,,,,,,,,,,,,
,,27.30008,A4_14,0.01,,,,,,,,,,,,,,,,,,,,
