Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,138.18008,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,138.30864,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,138.3856,B5_21,0.014,,,,,,,,,,,,,,,,,,,,
,,138.42296,B5_21,0.017,,,,,,,,,,,,,,,,,,,,
,,138.42856,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,138.43328,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,138.47128,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,138.4772,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,138.49512,B5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,138.67408,B5_21,0.015,,,,,,,,,,,,,,,,,,,,
,,138.74448,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,138.83224,A3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,139.03544,A4_34,0.015,,,,,,,,,,,,,,,,,,,,
,,139.0768,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,139.49352,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,139.50064,A6_34,0.018,,,,,,,,,,,,,,,,,,,,
,,139.57096,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,139.71456,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,139.806,C5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,139.83992,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,139.876,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,139.94624,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,139.97616,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,140.13808,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,140.198,A4_23,0.033,,,,,,,,,,,,,,,,,,,,
,,140.28144,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,140.47016,A6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,140.54536,D4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,140.59664,A4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,140.67872,B3_22,0.016,,,,,,,,,,,,,,,,,,,,
,,140.69744,B3_22,0.017,,,,,,,,,,,,,,,,,,,,
,,140.71688,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,140.7256,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,140.80792,B3_12,0.027,,,,,,,,,,,,,,,,,,,,
,,140.8448,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,140.86576,C5_13,0.017,,,,,,,,,,,,,,,,,,,,
,,141.022,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,141.02656,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,141.06872,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,141.138,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,141.29,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,141.2904,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,141.30648,D2_34,0.016,,,,,,,,,,,,,,,,,,,,
,,141.31616,A2_14,0.014,,,,,,,,,,,,,,,,,,,,
,,141.3336,C5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,141.376,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,141.51936,A4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,141.5888,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,141.60112,C5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,141.6184,C5_14,0.017,,,,,,,,,,,,,,,,,,,,
,,141.7844,D2_33,0.029,,,,,,,,,,,,,,,,,,,,
,,141.99904,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,142.0904,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,142.17808,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,142.53608,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,142.6632,C6_44,0.017,,,,,,,,,,,,,,,,,,,,
,,142.75072,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,142.86504,A1_33,0.011,,,,,,,,,,,,,,,,,,,,
,,142.96344,A4_44,0.013,,,,,,,,,,,,,,,,,,,,
,,143.184,C5_22,0.023,,,,,,,,,,,,,,,,,,,,
,,143.21944,C1_34,0.019,,,,,,,,,,,,,,,,,,,,
,,143.24984,C5_44,0.018,,,,,,,,,,,,,,,,,,,,
,,143.30352,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,143.4924,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,143.51224,A4_44,0.015,,,,,,,,,,,,,,,,,,,,
,,143.78192,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,143.84544,C5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,143.86776,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,144.06168,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,144.07064,A4_34,0.015,,,,,,,,,,,,,,,,,,,,
,,144.07744,B5_11,0.018,,,,,,,,,,,,,,,,,,,,
,,144.21816,A1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,144.27504,A3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,144.28688,C4_33,0.026,,,,,,,,,,,,,,,,,,,,
,,144.48984,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,144.53704,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,144.744,B5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,144.75984,A3_33,0.014,,,,,,,,,,,,,,,,,,,,
,,144.85032,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,145.34984,C1_34,0.017,,,,,,,,,,,,,,,,,,,,
,,145.39104,D5_33,0.011,,,,,,,,,,,,,,,,,,,,
,,145.54896,D5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,145.5636,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,145.842,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,145.864,A4_14,0.011,,,,,,,,,,,,,,,,,,,,
,,145.9836,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,146.12096,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,146.22672,B6_42,0.017,,,,,,,,,,,,,,,,,,,,
,,146.32144,B3_12,0.012,,,,,,,,,,,,,,,,,,,,
,,146.37744,C5_44,0.017,,,,,,,,,,,,,,,,,,,,
,,146.44296,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,146.48216,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,146.59416,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,146.6196,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,146.7276,C3_33,0.016,,,,,,,,,,,,,,,,,,,,
,,146.75816,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,146.83896,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,146.88472,B6_43,0.016,,,,,,,,,,,,,,,,,,,,
,,146.92904,B5_22,0.021,,,,,,,,,,,,,,,,,,,,
,,147.08408,C5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,147.18296,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,147.34888,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,147.4584,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,147.47584,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,147.54216,B6_23,0.024,,,,,,,,,,,,,,,,,,,,
,,147.76304,C1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,147.82216,A4_14,0.012,,,,,,,,,,,,,,,,,,,,
,,147.86112,B6_42,0.018,,,,,,,,,,,,,,,,,,,,
,,147.94912,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,148.09232,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,148.14768,B6_42,0.018,,,,,,,,,,,,,,,,,,,,
,,148.43416,D2_33,0.023,,,,,,,,,,,,,,,,,,,,
,,148.50408,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,148.50424,B6_42,0.014,,,,,,,,,,,,,,,,,,,,
,,148.68488,D2_33,0.024,,,,,,,,,,,,,,,,,,,,
,,148.72544,C5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,148.74464,A2_34,0.017,,,,,,,,,,,,,,,,,,,,
,,148.75216,B5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,148.782,C6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,148.926,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,149.12816,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,149.24864,C1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,149.38312,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,149.3924,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,149.44848,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,149.4908,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,149.80096,B6_23,0.026,,,,,,,,,,,,,,,,,,,,
,,149.8184,B5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,149.83432,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,149.83736,A1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,149.87344,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,149.91368,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,149.93376,D2_34,0.015,,,,,,,,,,,,,,,,,,,,
,,149.97208,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,150.01448,C5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,150.06336,D6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,150.12456,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,150.23656,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,150.24872,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,150.37376,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,150.70216,B5_22,0.012,,,,,,,,,,,,,,,,,,,,
,,150.792,D2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,150.8704,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,150.988,B5_22,0.022,,,,,,,,,,,,,,,,,,,,
,,150.99896,A4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,151.0332,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,151.03672,C5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,151.11568,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,151.27656,B6_43,0.016,,,,,,,,,,,,,,,,,,,,
,,151.44624,B5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,151.4592,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,151.47128,B6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,151.55184,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,151.63392,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,151.77008,D4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,151.85272,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,151.85544,D2_34,0.015,,,,,,,,,,,,,,,,,,,,
,,152.332,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,152.81096,A3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,153.09632,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,153.14176,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,153.17448,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,153.19928,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,153.25184,B3_21,0.017,,,,,,,,,,,,,,,,,,,,
,,153.27784,C5_24,0.017,,,,,,,,,,,,,,,,,,,,
,,153.39256,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,153.41376,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
,,153.54128,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,153.58096,B5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,153.63792,B5_12,0.018,,,,,,,,,,,,,,,,,,,,
,,153.73576,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,153.73888,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,153.76096,D2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,154.06416,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,154.15656,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,154.26008,B5_11,0.013,,,,,,,,,,,,,,,,,,,,
,,154.30992,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,154.40736,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,154.45384,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,154.59232,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,154.62496,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,154.66936,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,154.75936,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,154.8412,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,154.85576,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,154.94448,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,154.96504,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,154.98528,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,155.11624,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,155.1296,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,155.16032,B6_42,0.018,,,,,,,,,,,,,,,,,,,,
,,155.18424,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,155.24464,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,155.2656,D2_33,0.024,,,,,,,,,,,,,,,,,,,,
,,155.30448,B5_32,0.015,,,,,,,,,,,,,,,,,,,,
,,155.33192,B6_42,0.013,,,,,,,,,,,,,,,,,,,,
,,155.36168,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,155.40136,B6_42,0.017,,,,,,,,,,,,,,,,,,,,
,,155.44776,A4_24,0.012,,,,,,,,,,,,,,,,,,,,
,,155.5232,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,155.61512,A4_24,0.019,,,,,,,,,,,,,,,,,,,,
,,155.68224,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,155.72728,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,155.77616,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,155.82808,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,155.8604,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,155.96168,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,156.08056,D2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,156.14616,B6_23,0.026,,,,,,,,,,,,,,,,,,,,
,,156.16152,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,156.27456,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,156.31432,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,156.32144,C5_13,0.024,,,,,,,,,,,,,,,,,,,,
,,156.37576,D6_32,0.016,,,,,,,,,,,,,,,,,,,,
,,156.41528,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,156.45656,B3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,156.4988,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,156.51896,A4_24,0.013,,,,,,,,,,,,,,,,,,,,
,,156.57744,C5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,156.71656,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,156.72824,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,156.73024,A4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,156.7564,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,156.75664,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,156.77392,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,156.82888,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,156.86512,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,156.92144,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,156.93992,B5_31,0.017,,,,,,,,,,,,,,,,,,,,
,,157.03016,B5_31,0.018,,,,,,,,,,,,,,,,,,,,
,,157.1532,A4_24,0.013,,,,,,,,,,,,,,,,,,,,
,,157.25856,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,157.42944,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,157.4464,B4_22,0.014,,,,,,,,,,,,,,,,,,,,
,,157.5044,C1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,157.54736,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,157.71384,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,157.7424,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,157.7824,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,157.83992,C1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,158.04376,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
,,158.15384,A3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,158.16392,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,158.19592,B6_43,0.02,,,,,,,,,,,,,,,,,,,,
,,158.27144,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,158.34416,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,158.43824,B4_24,0.013,,,,,,,,,,,,,,,,,,,,
,,158.51712,B4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,158.60072,B4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,158.68944,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,158.71776,C3_42,0.014,,,,,,,,,,,,,,,,,,,,
,,158.7376,B3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,158.81136,C1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,158.89304,B4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,158.92632,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
,,158.93192,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,158.9656,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,158.99016,C5_13,0.017,,,,,,,,,,,,,,,,,,,,
,,159.00528,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,159.0996,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,159.104,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,159.1056,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
,,159.13624,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,159.20528,D2_13,0.017,,,,,,,,,,,,,,,,,,,,
,,159.28672,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,159.31288,B3_31,0.014,,,,,,,,,,,,,,,,,,,,
,,159.40584,C4_33,0.016,,,,,,,,,,,,,,,,,,,,
,,159.42344,A1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,159.42848,B4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,159.48392,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,159.51112,C5_14,0.019,,,,,,,,,,,,,,,,,,,,
,,159.65408,D2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,159.74872,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,159.76832,B4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,159.79648,B5_13,0.017,,,,,,,,,,,,,,,,,,,,
,,160.05192,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,160.14032,C5_44,0.015,,,,,,,,,,,,,,,,,,,,
,,160.19272,B3_31,0.015,,,,,,,,,,,,,,,,,,,,
,,160.19816,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,160.20936,B4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,160.24424,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,160.28472,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,160.3128,B5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,160.33744,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,160.36968,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,160.42536,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,160.44552,B5_31,0.022,,,,,,,,,,,,,,,,,,,,
,,160.44616,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,160.50392,C1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,160.52688,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,160.54488,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,160.54712,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,160.57648,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,160.64248,B5_31,0.018,,,,,,,,,,,,,,,,,,,,
,,160.75808,B5_31,0.017,,,,,,,,,,,,,,,,,,,,
,,160.82536,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,160.92048,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,161.0588,B6_23,0.025,,,,,,,,,,,,,,,,,,,,
,,161.06952,D2_33,0.027,,,,,,,,,,,,,,,,,,,,
,,161.13968,D2_33,0.029,,,,,,,,,,,,,,,,,,,,
,,161.18864,D2_33,0.023,,,,,,,,,,,,,,,,,,,,
,,161.22016,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,161.22528,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,161.45064,B5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,161.8484,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,161.88984,B5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,161.9192,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,161.97968,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,162.06496,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,162.08392,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,162.10128,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,162.134,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,162.1472,C5_14,0.018,,,,,,,,,,,,,,,,,,,,
,,162.32704,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,162.3604,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,162.41024,A6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,162.42984,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,162.71232,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,162.7168,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,162.84504,A3_22,0.011,,,,,,,,,,,,,,,,,,,,
,,162.88032,C3_43,0.015,,,,,,,,,,,,,,,,,,,,
,,163.00816,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,163.06688,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,163.26376,B6_24,0.018,,,,,,,,,,,,,,,,,,,,
,,163.38736,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,163.39296,A1_44,0.018,,,,,,,,,,,,,,,,,,,,
,,163.4268,C3_42,0.012,,,,,,,,,,,,,,,,,,,,
,,163.50088,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,163.52696,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,163.64144,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,163.68224,B3_12,0.02,,,,,,,,,,,,,,,,,,,,
,,164.10136,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,164.16496,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,164.21704,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,164.34992,C4_33,0.027,,,,,,,,,,,,,,,,,,,,
,,164.41672,C5_43,0.019,,,,,,,,,,,,,,,,,,,,
,,164.5184,C5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,164.53192,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,164.67808,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,164.79376,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,165.10096,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,165.20072,B3_11,0.013,,,,,,,,,,,,,,,,,,,,
,,165.33352,C5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,165.51496,C5_13,0.02,,,,,,,,,,,,,,,,,,,,
,,165.62784,A6_34,0.028,,,,,,,,,,,,,,,,,,,,
,,165.6584,C4_33,0.016,,,,,,,,,,,,,,,,,,,,
,,165.7192,A6_34,0.027,,,,,,,,,,,,,,,,,,,,
,,166.01192,B6_44,0.014,,,,,,,,,,,,,,,,,,,,
,,166.02096,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,166.03808,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,166.56096,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,166.9596,C3_34,0.012,,,,,,,,,,,,,,,,,,,,
,,166.9608,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,167.06448,C5_44,0.017,,,,,,,,,,,,,,,,,,,,
,,167.13416,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,167.22904,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,167.24584,B6_23,0.04,,,,,,,,,,,,,,,,,,,,
,,167.44488,C5_43,0.017,,,,,,,,,,,,,,,,,,,,
,,167.62904,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,167.66024,C3_33,0.015,,,,,,,,,,,,,,,,,,,,
,,167.6636,D2_34,0.015,,,,,,,,,,,,,,,,,,,,
,,167.68472,B4_32,0.016,,,,,,,,,,,,,,,,,,,,
,,167.75496,B5_12,0.018,,,,,,,,,,,,,,,,,,,,
,,167.91288,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,168.0504,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,168.1944,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,168.26488,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,168.48704,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,168.66344,C5_24,0.02,,,,,,,,,,,,,,,,,,,,
,,168.70152,C5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,168.73736,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,168.76024,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
,,168.886,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,168.91272,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
,,168.96152,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,169.15672,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,169.24776,A3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,169.26864,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,169.296,D2_13,0.018,,,,,,,,,,,,,,,,,,,,
,,169.4088,B6_42,0.017,,,,,,,,,,,,,,,,,,,,
,,169.4184,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,169.67288,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,169.68944,C4_33,0.016,,,,,,,,,,,,,,,,,,,,
,,169.704,C6_44,0.017,,,,,,,,,,,,,,,,,,,,
,,169.75208,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,169.8292,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,169.94344,D2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,170.10776,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
