Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,2.13216,C5_33,0.017
,,2.13336,C4_33,0.036
,,2.13504,C3_32,0.113
,,2.13976,C3_33,0.032
,,2.1432,C3_33,0.037
,,2.144,C6_42,0.019
,,2.1468,C2_31,0.046
,,2.15064,C1_41,0.032
,,2.15376,C2_23,0.035
,,2.1544,C3_31,0.025
,,2.16208,C3_32,0.043
,,2.16224,C4_24,0.061
,,2.1668,C2_33,0.035
,,2.16792,C2_22,0.028
,,2.17104,C1_11,0.084
,,2.18224,C1_11,0.035
,,2.18736,C2_33,0.066
,,2.19304,C2_31,0.044
,,2.20448,C1_11,0.029
,,2.2048,C5_22,0.031
,,2.2052,C1_31,0.035
,,2.21496,C4_12,0.018
,,2.21792,C1_21,0.048
,,2.21832,C4_24,0.027
,,2.21896,C3_42,0.026
,,2.21992,C4_34,0.037
,,2.22256,C1_43,0.048
,,2.22488,C1_21,0.033
,,2.22592,C1_22,0.03
,,2.22712,C2_33,0.046
,,2.23744,C1_42,0.064
,,2.24,C2_31,0.036
,,2.24104,C3_33,0.041
,,2.2424,C5_33,0.021
,,2.24912,C2_33,0.042
,,2.2496,C6_21,0.025
,,2.25072,C2_22,0.044
,,2.25192,C2_32,0.031
,,2.25792,C4_14,0.017
,,2.26568,C3_31,0.027
,,2.26872,C6_11,0.019
,,2.27176,C6_31,0.048
,,2.27584,C4_33,0.029
,,2.278,C2_23,0.033
,,2.28448,C1_11,0.025
,,2.28496,C5_34,0.042
,,2.2868,C2_33,0.047
,,2.28736,C1_31,0.025
,,2.29192,C3_33,0.052
,,2.2928,C1_42,0.049
,,2.29344,C2_33,0.06
,,2.29496,C3_33,0.088
,,2.3,C2_22,0.029
,,2.30288,C1_11,0.031
,,2.30488,C4_33,0.08
,,2.30784,C2_22,0.032
,,2.30872,C2_32,0.035
,,2.31144,C2_22,0.036
,,2.3152,C1_22,0.052
,,2.31528,C2_23,0.025
,,2.31768,C3_33,0.036
,,2.31872,C2_33,0.032
,,2.31928,C3_32,0.043
,,2.31952,C1_11,0.025
,,2.32064,C2_31,0.036
,,2.32168,C1_43,0.024
,,2.32248,C2_42,0.045
,,2.3228,C2_33,0.031
,,2.32312,C2_32,0.039
,,2.32312,C3_42,0.03
,,2.32472,C2_42,0.024
,,2.32672,C3_33,0.037
,,2.32872,C1_41,0.022
,,2.32896,C4_33,0.032
,,2.33128,C1_22,0.046
,,2.33488,C3_42,0.026
,,2.3368,C6_23,0.022
,,2.3372,C1_33,0.019
,,2.34024,C3_33,0.114
,,2.34264,C3_33,0.038
,,2.3448,C2_31,0.08
,,2.34552,C2_33,0.039
,,2.34616,C1_22,0.04
,,2.34736,C6_31,0.032
,,2.34736,C6_42,0.029
,,2.34896,C2_32,0.029
,,2.35264,C2_22,0.035
,,2.36032,C1_43,0.042
,,2.36088,C3_33,0.045
,,2.36216,C1_41,0.017
,,2.3636,C1_11,0.055
,,2.36664,C1_11,0.018
,,2.36816,C5_42,0.037
,,2.36888,C3_44,0.013
,,2.36928,C4_33,0.03
,,2.3708,C5_42,0.022
,,2.37376,C2_31,0.047
,,2.37728,C1_11,0.032
,,2.38136,C2_33,0.043
,,2.38168,C5_34,0.065
,,2.38192,C1_41,0.033
,,2.38408,C2_23,0.021
,,2.38984,C2_23,0.031
,,2.39208,C3_43,0.051
